Game#,Game Date,Seq,Opp,Lg,Result,Astros Score,Opposing Score,Starting Pitcher,Th,Opposing Pitcher,S-G,S-GS,WL,W-L,QS,CG,SHO,IP,H,R,ER,HR,BB,SO,WP,BK,HB,IBB,GB,FB,ERA,WHIP,Pit,Str,Bal,Fou,Cal,Sw,InPlay,C-G,C-GS,W-L Career
117,8/10/18,-,SEA,AL,L,2,5,Gerrit Cole,R,Mike Leake,24,24,L,5-Oct,-,-,-,7.1,6,4,4,-,1,5,-,-,-,-,9,14,2.75,0.99,93,63,30,17,13,10,23,151,151,69-47
118,8/11/18,-,SEA,AL,L,2,3,Charlie Morton,R,Wade LeBlanc,23,23,L,3-Dec,Y,-,-,6,7,3,3,-,1,4,-,-,1,-,10,7,2.88,1.15,87,51,36,12,14,8,17,210,209,72-81
119,8/12/18,-,SEA,AL,L,3,4,Dallas Keuchel,L,Erasmo Ramirez,25,25,---,9-Sep,Y,-,-,7,7,2,1,1,1,5,-,-,-,-,13,8,3.48,1.24,112,67,45,14,17,15,21,183,174,73-61
120,8/14/18,-,COL,NL,L,1,5,Justin Verlander,R,German Marquez,26,26,L,8-Nov,Y,-,-,6,6,2,2,1,-,11,-,-,-,-,3,10,2.52,0.91,103,71,32,23,18,17,13,411,411,199-122
121,8/15/18,-,COL,NL,W,12,1,Gerrit Cole,R,Tyler Anderson,25,25,W,5-Nov,Y,-,-,6,5,1,1,-,-,12,-,-,-,-,5,5,2.71,0.98,84,62,22,20,13,19,10,152,152,70-47
122,8/17/18,-,OAK,AL,L,3,4,Charlie Morton,R,Edwin Jackson,24,24,---,3-Dec,-,-,-,5,4,2,-,-,2,4,-,-,-,-,4,11,2.78,1.15,85,55,30,22,12,6,15,211,210,72-81
123,8/18/18,-,OAK,AL,L,1,7,Dallas Keuchel,L,Trevor Cahill,26,26,L,10-Sep,-,-,-,5.2,9,5,5,-,1,4,-,-,-,-,6,16,3.64,1.26,85,62,23,19,13,8,22,184,175,73-62
124,8/19/18,-,OAK,AL,W,9,4,Justin Verlander,R,Sean Manaea,27,27,W,8-Dec,-,-,-,5.1,7,4,4,3,1,6,-,-,-,-,5,11,2.65,0.93,100,68,32,20,22,10,16,412,412,200-122
125,8/20/18,-,SEA,AL,L,4,7,Gerrit Cole,R,Felix Hernandez,26,26,---,5-Nov,-,-,-,5,7,3,2,-,2,7,1,-,-,-,7,8,2.73,1.01,93,65,28,24,17,9,15,153,153,70-47
126,8/21/18,-,SEA,AL,W,3,2,Brad Peacock,R,Nick Vincent,50,1,---,4-Feb,-,-,-,1.2,3,-,-,-,-,2,-,-,-,-,4,2,3.09,1.07,36,25,11,7,8,4,6,144,68,26-23
127,8/22/18,-,SEA,AL,W,10,7,Charlie Morton,R,Marco Gonzales,25,25,W,13-3,-,-,-,5,7,6,6,1,1,7,-,-,2,-,7,8,3.05,1.17,90,58,32,18,19,6,15,212,211,73-81
128,8/24/18,-,ANA,AL,W,9,3,Dallas Keuchel,L,Andrew Heaney,27,27,W,10-Oct,Y,-,-,7,5,2,2,1,2,6,1,-,-,-,8,11,3.6,1.25,107,64,43,14,20,11,19,185,176,74-62
129,8/25/18,-,ANA,AL,W,8,3,Justin Verlander,R,Jaime Barria,28,28,W,13-8,Y,-,-,6,6,3,3,1,2,6,-,-,-,-,4,13,2.72,0.94,91,63,28,15,19,12,17,413,413,201-122
130,8/26/18,-,ANA,AL,W,3,1,Framber Valdez,L,Felix Pena,2,1,W,Feb-00,-,-,-,5,2,1,1,-,3,3,3,-,-,-,11,3,0.96,0.86,77,42,35,7,16,5,14,2,1,Feb-00
131,8/27/18,-,OAK,AL,W,11,4,Gerrit Cole,R,Brett Anderson,27,27,W,5-Dec,-,-,-,6,4,4,4,2,2,8,1,-,-,-,7,6,2.85,1.01,96,62,34,25,15,9,13,154,154,71-47
132,8/28/18,-,OAK,AL,L,3,4,Charlie Morton,R,Edwin Jackson,26,26,---,13-3,-,-,-,4.2,3,3,3,1,4,3,-,-,1,-,7,7,3.14,1.18,89,53,36,17,14,8,14,213,212,73-81
133,8/29/18,-,OAK,AL,W,5,4,Dallas Keuchel,L,Trevor Cahill,28,28,---,10-Oct,Y,-,-,6,8,3,3,-,1,5,-,-,-,-,13,8,3.63,1.26,89,51,38,11,12,7,21,186,177,74-62
134,8/30/18,-,ANA,AL,L,2,5,Justin Verlander,R,Andrew Heaney,29,29,L,13-9,-,-,-,5.1,5,3,3,-,1,11,-,-,-,-,2,8,2.78,0.95,98,67,31,20,20,17,10,414,414,201-123
135,8/31/18,-,ANA,AL,L,0,3,Framber Valdez,L,Jaime Barria,3,2,L,1-Feb,-,-,-,5,2,1,1,-,3,3,-,-,-,-,10,3,1.26,0.91,89,51,38,20,14,4,13,3,2,1-Feb
136,9/1/18,-,ANA,AL,W,7,3,Joshua James,R,Felix Pena,1,1,---,0-0,-,-,-,5,3,3,3,1,3,9,-,-,-,-,4,5,5.4,1.2,91,56,35,15,24,8,9,1,1,0-0
137,9/2/18,-,ANA,AL,W,4,2,Gerrit Cole,R,Shohei Ohtani,28,28,W,13-5,-,-,-,5.2,6,2,2,-,3,9,-,-,1,-,7,7,2.86,1.03,111,74,37,18,23,19,14,155,155,72-47
138,9/3/18,-,MIN,AL,W,4,1,Dallas Keuchel,L,Kyle Gibson,29,29,W,10-Nov,Y,-,-,6,5,1,-,-,2,6,-,-,-,-,10,8,3.51,1.25,100,62,38,11,23,10,18,187,178,75-62
139,9/4/18,-,MIN,AL,W,5,2,Justin Verlander,R,Trevor May,30,30,W,14-9,Y,-,-,7,3,1,1,-,2,8,2,-,-,-,4,12,2.73,0.94,101,70,31,15,24,15,16,415,415,202-123
140,9/5/18,-,MIN,AL,W,9,1,Framber Valdez,L,Jake Odorizzi,4,3,W,1-Mar,-,-,-,5.1,5,1,1,1,3,5,1,-,-,-,10,4,1.37,1.07,88,45,43,10,15,6,14,4,3,1-Mar
141,9/7/18,-,BOS,AL,L,6,3,Gerrit Cole,R,David Price,1,1,---,0-0,Y,-,-,6,5,2,2,1,2,8,1,-,-,-,5,10,3,1.17,97,64,33,19,17,13,15,156,156,72-47
142,9/8/18,-,BOS,AL,W,5,3,Charlie Morton,R,Eduardo Rodriguez,27,27,W,14-3,-,-,-,5,7,2,2,1,2,3,-,-,-,-,7,12,3.15,1.2,94,60,34,18,18,5,19,214,213,74-81
143,9/9/18,-,BOS,AL,L,5,6,Dallas Keuchel,L,Rick Porcello,30,30,---,10-Nov,-,-,-,6,9,5,5,1,2,2,-,-,-,-,15,8,3.64,1.27,91,53,38,9,17,4,23,188,179,75-62
144,9/10/18,-,DET,AL,W,3,2,Justin Verlander,R,Francisco Liriano,31,31,W,15-9,Y,-,-,7,6,2,2,-,1,10,-,-,-,-,6,11,2.72,0.94,101,74,27,21,16,20,17,416,416,203-123
145,9/11/18,-,DET,AL,W,5,4,Framber Valdez,L,Jordan Zimmermann,5,4,---,1-Mar,-,-,-,4,5,4,4,1,4,3,-,-,-,-,8,5,2.66,1.27,91,50,41,19,13,5,13,5,4,1-Mar
146,9/12/18,-,DET,AL,W,5,4,Gerrit Cole,R,Daniel Norris,29,29,W,14-5,-,-,-,5,3,2,2,1,4,9,-,-,-,-,3,7,2.88,1.04,98,64,34,22,11,21,10,157,157,73-47
147,9/14/18,-,ARI,NL,L,2,4,Dallas Keuchel,L,Robbie Ray,31,31,---,10-Nov,Y,-,-,6,5,2,2,-,4,5,-,-,-,-,9,9,3.62,1.28,99,54,45,15,15,6,18,189,180,75-62
148,9/15/18,-,ARI,NL,W,10,4,Charlie Morton,R,Zack Godley,28,28,W,15-3,Y,-,-,6,3,2,2,1,-,7,-,-,1,-,4,10,3.15,1.17,70,55,15,12,21,7,15,215,214,75-81
149,9/16/18,-,ARI,NL,W,5,4,Justin Verlander,R,Zack Greinke,32,32,W,16-9,Y,-,-,7,3,1,1,1,1,11,-,-,-,-,4,9,2.67,0.93,100,73,27,22,15,23,13,417,417,204-123
150,9/17/18,-,SEA,AL,L,1,4,Framber Valdez,L,Wade LeBlanc,6,5,---,1-Mar,-,-,-,5,2,-,-,-,5,6,1,-,-,-,7,2,2.2,1.29,81,41,40,6,18,8,9,6,5,1-Mar
151,9/18/18,-,SEA,AL,W,7,0,Joshua James,R,Mike Leake,4,2,W,Jan-00,-,-,-,5.1,4,-,-,-,2,7,-,-,-,-,5,8,2.81,1,87,55,32,16,11,15,13,4,2,Jan-00
152,9/19/18,-,SEA,AL,L,0,9,Dallas Keuchel,L,Matt Festa,32,32,L,11-Nov,-,-,-,5,6,5,5,-,2,3,1,-,-,-,6,12,3.75,1.29,80,51,29,12,15,6,18,190,181,75-63
153,9/21/18,-,ANA,AL,W,11,3,Gerrit Cole,R,Andrew Heaney,30,30,W,15-5,Y,-,-,7,6,3,3,1,-,12,-,-,-,-,3,12,2.92,1.03,102,71,31,14,22,20,15,158,158,74-47
154,9/22/18,-,ANA,AL,W,10,5,Justin Verlander,R,Jaime Barria,33,33,---,16-9,Y,-,-,6,1,-,-,-,-,11,-,-,1,-,1,7,2.6,0.91,100,74,26,32,20,14,8,418,418,204-123
155,9/23/18,-,ANA,AL,W,6,2,Charlie Morton,R,Tyler Skaggs,29,29,---,15-3,-,-,-,1,1,1,1,-,-,2,1,-,-,-,1,1,3.18,1.17,24,15,9,6,3,4,2,216,215,75-81
156,9/24/18,-,TOR,AL,W,5,3,Dallas Keuchel,L,Marco Estrada,33,33,W,11-Dec,-,-,-,5,7,3,3,1,3,5,-,-,-,-,8,7,3.79,1.3,86,48,38,15,14,4,15,191,182,76-63
157,9/25/18,-,TOR,AL,W,4,1,Joshua James,R,Sam Gaviglio,5,3,W,Feb-00,-,-,-,5,4,1,1,1,1,3,-,-,1,-,6,8,2.57,1,64,43,21,9,11,9,14,5,3,Feb-00
158,9/26/18,-,TOR,AL,L,1,3,Chris Devenski,R,Sean Reid-Foley,48,1,L,3-Feb,-,-,-,2,1,2,2,1,1,2,-,-,-,-,2,3,4.34,1.2,27,18,9,4,6,3,5,158,6,14-12
159,9/28/18,-,BAL,AL,W,2,1,Gerrit Cole,R,David Hess,31,31,---,15-5,Y,-,-,6,5,1,1,-,1,4,-,-,-,-,7,11,2.87,1.03,85,61,24,16,15,12,18,159,159,74-47
160,9/29/18,1,BAL,AL,W,4,3,Justin Verlander,R,Dylan Bundy,35,35,---,16-9,Y,-,-,6,3,1,1,-,1,10,1,-,-,-,5,5,2.49,0.89,97,66,31,19,17,20,10,420,420,204-123
161,9/29/18,2,BAL,AL,W,5,2,Dallas Keuchel,L,Yefry Ramirez,34,34,---,11-Dec,-,-,-,3,5,1,-,-,1,2,-,-,-,-,8,2,3.74,1.31,38,26,12,6,8,2,10,192,183,76-63
162,9/30/18,-,BAL,AL,L,0,4,Charlie Morton,R,Jimmy Yacabonis,30,30,---,15-3,-,-,-,3,1,-,-,-,1,4,1,-,-,-,3,2,3.13,1.16,34,19,15,3,5,6,5,217,216,75-81
