Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing,WHIP_Starting,WHIP_Opposing,H9_Starting ,H9_Opposing,HR9_Starting,HR9_Opposing,BB9_Starting,BB9_Opposing,SO9_Starting ,SO9_Opposing,SO/W_Starting,SO/W_Opposing
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1702.18,28.2,4.56,6154,5526,1379,317,22,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.58,3.51,2.0,0.0,223.0,159.0,179.0,129.0,3.27,3.36,0.8029999999999999,1.208,5.5,7.9,1.5,0.9,1.7,3.0,12.1,10.1,7.14,10.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1702.18,28.2,4.56,6154,5526,1379,317,22,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,2.5,4.01,0.0,0.0,212.1,146.0,185.0,113.0,2.64,4.02,0.895,1.158,6.0,8.7,1.2,1.4,2.0,1.7,13.8,8.6,6.79,8.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1702.18,28.2,4.56,6154,5526,1379,317,22,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.7,5.12,0.0,0.0,74.2,165.1,99.0,89.0,4.43,4.66,1.232,1.518,7.5,10.0,1.4,1.3,3.6,3.6,9.9,7.3,2.73,7.3
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1702.18,28.2,4.56,6154,5526,1379,317,22,166,534,1328,0.25,0.318,0.405,0.723,2238,37,1087,4.12,3.68,0.0,1.0,91.2,200.1,112.0,123.0,4.42,3.85,1.189,1.2229999999999999,7.7,8.7,1.5,1.2,3.0,2.3,9.4,8.8,3.1,8.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.58,4.45,2.0,1.0,223.0,182.0,179.0,101.0,3.27,4.27,0.8029999999999999,1.242,5.5,9.2,1.5,1.4,1.7,2.0,12.1,7.4,7.14,7.4
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.5,4.55,0.0,0.0,212.1,31.2,185.0,100.0,2.64,4.95,0.895,1.484,6.0,8.8,1.2,1.7,2.0,4.5,13.8,10.5,6.79,10.5
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,4.7,3.82,0.0,0.0,74.2,150.2,99.0,117.0,4.43,3.86,1.232,1.281,7.5,8.2,1.4,1.4,3.6,3.3,9.9,11.1,2.73,11.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,5.86,4.17,0.0,0.0,70.2,69.0,79.0,108.0,4.98,3.34,1.67,1.232,9.4,8.6,1.1,1.3,5.6,2.5,8.7,12.8,1.55,12.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,4.12,3.82,0.0,0.0,91.2,150.2,112.0,117.0,4.42,3.86,1.189,1.281,7.7,8.2,1.5,1.4,3.0,3.3,9.4,11.1,3.1,11.1
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,3.98,4.45,0.0,1.0,167.1,182.0,116.0,101.0,4.51,4.27,1.345,1.242,8.8,9.2,1.2,1.4,3.3,2.0,7.5,7.4,2.3,7.4
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2293.76,27.2,5.25,6271,5515,1374,269,23,267,625,1421,0.249,0.32899999999999996,0.451,0.7809999999999999,2490,62,1100,2.58,4.91,2.0,0.0,223.0,161.1,179.0,91.0,3.27,5.22,0.8029999999999999,1.295,5.5,8.9,1.5,1.9,1.7,2.7,12.1,7.8,7.14,7.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,2.63,0.0,0.0,74.2,96.0,99.0,162.0,4.43,3.0,1.232,1.115,7.5,7.9,1.4,0.8,3.6,2.2,9.9,9.7,2.73,9.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,5.613333333333333,0.0,0.0,167.1,73.10000000000001,116.0,80.33333333333333,4.51,5.416666666666667,1.345,1.375333333333333,8.8,9.633333333333333,1.2,1.7333333333333332,3.3,2.766666666666667,7.5,6.766666666666667,2.3,6.766666666666667
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,4.7,6.85,0.0,0.0,74.2,23.2,99.0,63.0,4.43,7.52,1.232,1.31,7.5,8.7,1.4,2.7,3.6,3.0,9.9,4.2,2.73,4.2
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,3.98,2.63,0.0,0.0,167.1,96.0,116.0,162.0,4.51,3.0,1.345,1.115,8.8,7.9,1.2,0.8,3.3,2.2,7.5,9.7,2.3,9.7
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,3.89,2.0,0.0,223.0,176.0,179.0,110.0,3.27,4.57,0.8029999999999999,1.307,5.5,9.3,1.5,1.0,1.7,2.5,12.1,4.6,7.14,4.6
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,3.81,0.0,0.0,212.1,144.0,185.0,112.0,2.64,4.4,0.895,1.194,6.0,7.8,1.2,1.3,2.0,2.9,13.8,8.8,6.79,8.8
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.5,4.5566666666666675,0.0,0.0,212.1,108.73333333333333,185.0,99.0,2.64,4.08,0.895,1.309,6.0,8.933333333333334,1.2,1.1666666666666667,2.0,2.8333333333333335,13.8,8.2,6.79,8.2
28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2624.74,28.0,5.02,6255,5579,1407,322,20,227,550,1381,0.252,0.325,0.439,0.764,2450,76,1085,2.58,3.81,2.0,0.0,223.0,144.0,179.0,112.0,3.27,4.4,0.8029999999999999,1.194,5.5,7.8,1.5,1.3,1.7,2.9,12.1,8.8,7.14,8.8
