,Favorite-BatAge,Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-2B,Favorite-3B,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,BatAge,R/G,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,CG_Starting,CG_Opposing,IP_Starting,IP_Opposing,ERA+_Starting ,ERA+_Opposing,FIP_Starting,FIP_Opposing
27,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,3.98,4.4,1.34,1.09,140.0,218.0,0.0,1.0,167.1,147.1
28,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,3.98,4.4,1.34,1.09,140.0,218.0,0.0,1.0,167.1,147.1
29,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,4.12,4.28,1.19,1.31,96.0,128.0,0.0,0.0,91.2,107.1
30,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2578.08,27.7,5.41,6302,5623,1509,355,31,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,2.58,3.81,0.8,1.33,300.0,213.0,1.0,0.0,223.0,203.1
31,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,4.12,4.58,1.19,1.27,96.0,20.0,0.0,0.0,91.2,19.2
32,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.58,7.98,0.8,1.76,300.0,41.0,1.0,0.0,223.0,58.2
33,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.5,4.72,0.89,1.45,326.0,114.0,0.0,0.0,212.1,187.0
34,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,5.59,3.41,1.81,1.06,19.0,228.0,0.0,2.0,19.1,176.2
35,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.96,5.79,1.01,1.55,93.5,81.0,0.0,0.0,104.1,73.0
36,28.2,4.92,6146.0,5453.0,1390.0,278.0,18.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1513.59,26.5,4.05,6071,5523,1332,259,40,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,4.83,4.72,1.3,1.45,72.0,114.0,0.0,0.0,69.0,187.0
