Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-2578.08,5.41,6302,5623,1509,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,4.12,4.28,1.19,1.31,91.2,107.1,96.0,128.0,15.0,15.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-2578.08,5.41,6302,5623,1509,208,569,1253,0.268,0.33899999999999997,0.45299999999999996,0.792,2550,55,1124,2.58,3.81,0.8,1.33,223.0,203.1,300.0,213.0,36.0,24.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1513.59,4.05,6071,5523,1332,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,4.12,4.58,1.19,1.27,91.2,19.2,96.0,20.0,15.0,3.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1513.59,4.05,6071,5523,1332,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.58,7.98,0.8,1.76,223.0,58.2,300.0,41.0,36.0,12.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1513.59,4.05,6071,5523,1332,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.5,4.72,0.89,1.45,212.1,187.0,326.0,114.0,29.0,30.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,-1513.59,4.05,6071,5523,1332,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,5.59,3.41,1.81,1.06,19.1,176.2,19.0,228.0,8.0,24.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1513.59,4.05,6071,5523,1332,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,2.96,5.79,1.01,1.55,104.1,73.0,93.5,81.0,10.5,15.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1513.59,4.05,6071,5523,1332,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,4.83,4.72,1.3,1.45,69.0,187.0,72.0,114.0,13.0,30.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1513.59,4.05,6071,5523,1332,182,425,1594,0.24100000000000002,0.302,0.401,0.703,2217,66,1050,3.98,6.59,1.34,1.62,167.1,69.2,140.0,46.0,23.0,20.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,-1522.98,4.67,6369,5624,1453,167,576,1388,0.258,0.33299999999999996,0.41,0.7440000000000001,2308,78,1224,2.5,3.81,0.89,1.39,212.1,141.2,326.0,143.0,29.0,17.0
